FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Lake Lindsey  N. Central Hernando,Richloam WMA and E Hernando,72,4
NW Hernando,Richloam WMA and E Hernando,33,1
Brooksville Area,Richloam WMA and E Hernando,344,23
Croom WMA  NE Hernando,Richloam WMA and E Hernando,280,23
South Central Hernando,Richloam WMA and E Hernando,309,16
Richloam WMA and E Hernando,Richloam WMA and E Hernando,3727,319
North Central Citrus,Richloam WMA and E Hernando,13,0
Inverness and NE Citrus,Richloam WMA and E Hernando,22,0
Homosassa Springs  SW Citrus,Richloam WMA and E Hernando,12,4
South East Citrus,Richloam WMA and E Hernando,28,1
External,Richloam WMA and E Hernando,758,522
Crystal River and NW Citrus,Richloam WMA and E Hernando,4,0
Hillsborough  Manatee Spur,Crystal River and NW Citrus,80,7
Pinellas,Crystal River and NW Citrus,66,7
Pasco,Crystal River and NW Citrus,227,15
NW Hernando,Crystal River and NW Citrus,224,8
Spring Hill and SW Hernando,Crystal River and NW Citrus,396,42
Crystal River and NW Citrus,Crystal River and NW Citrus,35323,2736
North Central Citrus,Crystal River and NW Citrus,11650,570
Homosassa Springs  SW Citrus,Crystal River and NW Citrus,8566,555
Inverness and NE Citrus,Crystal River and NW Citrus,3066,116
South East Citrus,Crystal River and NW Citrus,1042,33
External,Crystal River and NW Citrus,1798,2184
Lake Lindsey  N. Central Hernando,Crystal River and NW Citrus,51,9
Croom WMA  NE Hernando,Crystal River and NW Citrus,61,4
South Central Hernando,Crystal River and NW Citrus,36,1
Brooksville Area,Crystal River and NW Citrus,55,1
Hillsborough  Manatee Spur,North Central Citrus,92,7
Pinellas,North Central Citrus,81,8
Pasco,North Central Citrus,246,12
Spring Hill and SW Hernando,North Central Citrus,311,16
NW Hernando,North Central Citrus,92,3
Croom WMA  NE Hernando,North Central Citrus,57,1
South Central Hernando,North Central Citrus,30,1
Brooksville Area,North Central Citrus,115,3
Crystal River and NW Citrus,North Central Citrus,11682,538
North Central Citrus,North Central Citrus,50071,2746
Homosassa Springs  SW Citrus,North Central Citrus,6392,210
Inverness and NE Citrus,North Central Citrus,12697,592
South East Citrus,North Central Citrus,2539,76
External,North Central Citrus,6403,3551
Lake Lindsey  N. Central Hernando,North Central Citrus,78,4
Richloam WMA and E Hernando,Crystal River and NW Citrus,4,0
Hillsborough  Manatee Spur,Homosassa Springs  SW Citrus,191,8
Pinellas,Homosassa Springs  SW Citrus,152,10
Pasco,Homosassa Springs  SW Citrus,857,40
Spring Hill and SW Hernando,Homosassa Springs  SW Citrus,1817,107
NW Hernando,Homosassa Springs  SW Citrus,907,28
Brooksville Area,Homosassa Springs  SW Citrus,229,14
Lake Lindsey  N. Central Hernando,Homosassa Springs  SW Citrus,160,53
Croom WMA  NE Hernando,Homosassa Springs  SW Citrus,53,1
Crystal River and NW Citrus,Homosassa Springs  SW Citrus,8556,565
North Central Citrus,Homosassa Springs  SW Citrus,6379,223
Homosassa Springs  SW Citrus,Homosassa Springs  SW Citrus,34965,2019
Inverness and NE Citrus,Homosassa Springs  SW Citrus,3019,161
South East Citrus,Homosassa Springs  SW Citrus,893,27
External,Homosassa Springs  SW Citrus,1179,1174
Richloam WMA and E Hernando,North Central Citrus,13,0
Hillsborough  Manatee Spur,Inverness and NE Citrus,47,3
Pinellas,Inverness and NE Citrus,33,1
Pasco,Inverness and NE Citrus,161,7
Lake Lindsey  N. Central Hernando,Inverness and NE Citrus,46,3
Spring Hill and SW Hernando,Inverness and NE Citrus,190,9
Brooksville Area,Inverness and NE Citrus,62,2
Croom WMA  NE Hernando,Inverness and NE Citrus,12,2
South Central Hernando,Inverness and NE Citrus,21,0
North Central Citrus,Inverness and NE Citrus,12761,529
Crystal River and NW Citrus,Inverness and NE Citrus,3090,92
Homosassa Springs  SW Citrus,Inverness and NE Citrus,3045,135
Inverness and NE Citrus,Inverness and NE Citrus,29684,1421
South East Citrus,Inverness and NE Citrus,6486,258
External,Inverness and NE Citrus,2428,1531
Richloam WMA and E Hernando,Inverness and NE Citrus,22,0
NW Hernando,Inverness and NE Citrus,44,0
South Central Hernando,Homosassa Springs  SW Citrus,120,5
Richloam WMA and E Hernando,Homosassa Springs  SW Citrus,12,4
Hillsborough  Manatee Spur,South East Citrus,66,7
Pasco,South East Citrus,173,13
Spring Hill and SW Hernando,South East Citrus,237,7
NW Hernando,South East Citrus,43,0
Brooksville Area,South East Citrus,243,7
Croom WMA  NE Hernando,South East Citrus,165,33
South Central Hernando,South East Citrus,30,0
Crystal River and NW Citrus,South East Citrus,1038,37
North Central Citrus,South East Citrus,2512,102
Homosassa Springs  SW Citrus,South East Citrus,888,32
Inverness and NE Citrus,South East Citrus,6515,229
South East Citrus,South East Citrus,7835,352
External,South East Citrus,1658,669
Pinellas,South East Citrus,42,4
Lake Lindsey  N. Central Hernando,South East Citrus,94,0
Richloam WMA and E Hernando,South East Citrus,28,1
NW Hernando,External,223,102
Spring Hill and SW Hernando,External,1644,1184
Lake Lindsey  N. Central Hernando,External,175,162
Brooksville Area,External,502,1099
Croom WMA  NE Hernando,External,417,290
South Central Hernando,External,370,258
Richloam WMA and E Hernando,External,758,522
Crystal River and NW Citrus,External,1798,2184
North Central Citrus,External,6403,3551
Homosassa Springs  SW Citrus,External,1179,1174
Inverness and NE Citrus,External,2428,1531
South East Citrus,External,1658,669
