FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Wesley Chapel  I-75 - SR56,New Port Richey,198,8
Dade City,New Port Richey,122,1
Zephyrhills,New Port Richey,58,2
Hernando,New Port Richey,3618,64
Citrus,New Port Richey,215,14
External,New Port Richey,706,516
San Antonio,New Port Richey,41,7
Lacoochie Ind Area,New Port Richey,3,0
Hillsborough  Manatee Spur,E New Port Richey,415,14
Pinellas,E New Port Richey,636,22
NW Pasco,E New Port Richey,65,1
Pasco West,E New Port Richey,3562,79
Hudson,E New Port Richey,334,9
New Port Richey,E New Port Richey,2711,75
E New Port Richey,E New Port Richey,1266,19
Seven Springs  Odessa,E New Port Richey,487,26
Pasco Central,E New Port Richey,3050,67
Land O Lakes  Connerton,E New Port Richey,68,5
Pasco East,E New Port Richey,102,0
San Antonio,E New Port Richey,24,0
Suncoast  SR 54,E New Port Richey,36,3
Wesley Chapel  I-75 - SR56,E New Port Richey,17,0
Zephyrhills,E New Port Richey,13,0
Dade City,E New Port Richey,33,0
Hernando,E New Port Richey,533,4
Citrus,E New Port Richey,16,0
External,E New Port Richey,35,23
Hillsborough  Manatee Spur,Seven Springs  Odessa,7583,347
Pinellas,Seven Springs  Odessa,10620,337
NW Pasco,Seven Springs  Odessa,143,4
Pasco West,Seven Springs  Odessa,16515,549
Hudson,Seven Springs  Odessa,267,5
New Port Richey,Seven Springs  Odessa,6772,211
E New Port Richey,Seven Springs  Odessa,494,18
Seven Springs  Odessa,Seven Springs  Odessa,29507,1018
Pasco Central,Seven Springs  Odessa,4670,151
I-75  SR 52,Seven Springs  Odessa,74,0
Land O Lakes  Connerton,Seven Springs  Odessa,375,10
Suncoast  SR 54,Seven Springs  Odessa,795,42
San Antonio,Seven Springs  Odessa,9,1
Wesley Chapel  I-75 - SR56,Seven Springs  Odessa,187,14
Pasco East,Seven Springs  Odessa,302,19
Hernando,Seven Springs  Odessa,955,23
Citrus,Seven Springs  Odessa,51,1
External,Seven Springs  Odessa,343,344
Zephyrhills,Seven Springs  Odessa,29,1
Hillsborough  Manatee Spur,Pasco Central,20567,547
Pinellas,Pasco Central,5340,177
NW Pasco,Pasco Central,1758,29
Pasco West,Pasco Central,17715,465
Hudson,Pasco Central,2958,78
New Port Richey,Pasco Central,7857,153
E New Port Richey,Pasco Central,3029,88
Seven Springs  Odessa,Pasco Central,4674,147
Pasco Central,Pasco Central,57695,1410
Land O Lakes  Connerton,Pasco Central,12125,376
I-75  SR 52,Pasco Central,2063,75
Pasco East,Pasco Central,5392,114
Suncoast  SR 54,Pasco Central,3768,123
San Antonio,Pasco Central,404,9
Wesley Chapel  I-75 - SR56,Pasco Central,4538,146
Zephyrhills,Pasco Central,560,10
Hernando,Pasco Central,16608,441
Citrus,Pasco Central,333,15
External,Pasco Central,1117,685
Dade City,Pasco Central,472,9
Hillsborough  Manatee Spur,Land O Lakes  Connerton,16668,496
Pinellas,Land O Lakes  Connerton,1056,47
NW Pasco,Land O Lakes  Connerton,105,2
Pasco West,Land O Lakes  Connerton,990,34
Hudson,Land O Lakes  Connerton,122,1
New Port Richey,Land O Lakes  Connerton,595,11
Pasco Central,Land O Lakes  Connerton,12120,382
Land O Lakes  Connerton,Land O Lakes  Connerton,16513,948
I-75  SR 52,Land O Lakes  Connerton,948,38
Pasco East,Land O Lakes  Connerton,4975,280
Suncoast  SR 54,Land O Lakes  Connerton,1767,45
Seven Springs  Odessa,Land O Lakes  Connerton,379,6
San Antonio,Land O Lakes  Connerton,66,3
Wesley Chapel  I-75 - SR56,Land O Lakes  Connerton,1665,89
Lacoochie Ind Area,Land O Lakes  Connerton,8,0
Dade City,Land O Lakes  Connerton,146,5
Zephyrhills,Land O Lakes  Connerton,145,5
Hernando,Land O Lakes  Connerton,1593,66
Citrus,Land O Lakes  Connerton,50,1
External,Land O Lakes  Connerton,289,254
E New Port Richey,Land O Lakes  Connerton,70,3
Lacoochie Ind Area,Pasco Central,8,0
Hillsborough  Manatee Spur,I-75  SR 52,1546,47
Pinellas,I-75  SR 52,182,13
Pasco West,I-75  SR 52,144,4
Hudson,I-75  SR 52,9,7
New Port Richey,I-75  SR 52,67,0
Seven Springs  Odessa,I-75  SR 52,74,0
NW Pasco,I-75  SR 52,23,0
Pasco Central,I-75  SR 52,2059,78
Land O Lakes  Connerton,I-75  SR 52,952,34
I-75  SR 52,I-75  SR 52,1985,85
Pasco East,I-75  SR 52,2723,54
San Antonio,I-75  SR 52,291,29
E New Port Richey,I-75  SR 52,12,0
Suncoast  SR 54,I-75  SR 52,59,3
Wesley Chapel  I-75 - SR56,I-75  SR 52,1417,71
Dade City,I-75  SR 52,272,0
Zephyrhills,I-75  SR 52,247,12
Hernando,I-75  SR 52,401,7
Citrus,I-75  SR 52,16,0
External,I-75  SR 52,127,109
Hillsborough  Manatee Spur,Pasco East,29519,832
Pinellas,Pasco East,2211,118
NW Pasco,Pasco East,126,3
Pasco West,Pasco East,806,39
Hudson,Pasco East,139,0
New Port Richey,Pasco East,439,12
E New Port Richey,Pasco East,102,0
Pasco Central,Pasco East,5410,95
Land O Lakes  Connerton,Pasco East,4978,276
I-75  SR 52,Pasco East,2731,46
Pasco East,Pasco East,67583,2098
Seven Springs  Odessa,Pasco East,299,22
Suncoast  SR 54,Pasco East,584,19
San Antonio,Pasco East,2017,104
Wesley Chapel  I-75 - SR56,Pasco East,19866,534
Lacoochie Ind Area,Pasco East,784,5
Dade City,Pasco East,14056,396
Zephyrhills,Pasco East,25123,658
Hernando,Pasco East,4483,225
Citrus,Pasco East,127,10
External,Pasco East,2628,1760
Hillsborough  Manatee Spur,San Antonio,668,70
Pinellas,San Antonio,115,16
New Port Richey,San Antonio,41,7
E New Port Richey,San Antonio,24,0
Pasco West,San Antonio,89,13
Pasco Central,San Antonio,411,3
I-75  SR 52,San Antonio,306,13
Pasco East,San Antonio,2028,93
San Antonio,San Antonio,2459,123
Seven Springs  Odessa,San Antonio,9,1
Land O Lakes  Connerton,San Antonio,66,3
Wesley Chapel  I-75 - SR56,San Antonio,406,36
Zephyrhills,San Antonio,587,11
Lacoochie Ind Area,San Antonio,6,0
Dade City,San Antonio,1495,28
Hernando,San Antonio,315,18
Citrus,San Antonio,23,4
External,San Antonio,173,336
I-75  SR 52,E New Port Richey,12,0
Hillsborough  Manatee Spur,Suncoast  SR 54,6422,211
Pinellas,Suncoast  SR 54,905,51
New Port Richey,Suncoast  SR 54,354,10
Pasco West,Suncoast  SR 54,564,13
Pasco Central,Suncoast  SR 54,3813,77
E New Port Richey,Suncoast  SR 54,36,3
Seven Springs  Odessa,Suncoast  SR 54,795,42
Hernando,Suncoast  SR 54,402,10
Citrus,Suncoast  SR 54,17,1
Dade City,Seven Springs  Odessa,5,1
NW Pasco,Suncoast  SR 54,24,3
Land O Lakes  Connerton,Suncoast  SR 54,1779,33
Suncoast  SR 54,Suncoast  SR 54,5542,177
Pasco East,Suncoast  SR 54,584,19
Zephyrhills,Suncoast  SR 54,61,0
Wesley Chapel  I-75 - SR56,Suncoast  SR 54,312,16
Dade City,Suncoast  SR 54,9,0
External,Suncoast  SR 54,186,255
San Antonio,Suncoast  SR 54,5,1
I-75  SR 52,Suncoast  SR 54,63,0
Hudson,Suncoast  SR 54,13,2
Lacoochie Ind Area,Suncoast  SR 54,1,0
Lacoochie Ind Area,Seven Springs  Odessa,1,0
Hudson,San Antonio,3,0
Suncoast  SR 54,San Antonio,5,1
NW Pasco,San Antonio,13,0
Hillsborough  Manatee Spur,Wesley Chapel  I-75 - SR56,21249,951
Pinellas,Wesley Chapel  I-75 - SR56,1227,135
Pasco West,Wesley Chapel  I-75 - SR56,551,25
Hudson,Wesley Chapel  I-75 - SR56,30,2
New Port Richey,Wesley Chapel  I-75 - SR56,198,8
Pasco Central,Wesley Chapel  I-75 - SR56,4547,137
Land O Lakes  Connerton,Wesley Chapel  I-75 - SR56,1654,100
I-75  SR 52,Wesley Chapel  I-75 - SR56,1423,65
Pasco East,Wesley Chapel  I-75 - SR56,19822,578
Seven Springs  Odessa,Wesley Chapel  I-75 - SR56,187,14
Suncoast  SR 54,Wesley Chapel  I-75 - SR56,315,13
San Antonio,Wesley Chapel  I-75 - SR56,406,36
Wesley Chapel  I-75 - SR56,Wesley Chapel  I-75 - SR56,30935,1871
Zephyrhills,Wesley Chapel  I-75 - SR56,2177,62
Lacoochie Ind Area,Wesley Chapel  I-75 - SR56,22,0
Dade City,Wesley Chapel  I-75 - SR56,682,20
Hernando,Wesley Chapel  I-75 - SR56,901,46
Citrus,Wesley Chapel  I-75 - SR56,36,2
External,Wesley Chapel  I-75 - SR56,692,1051
NW Pasco,Wesley Chapel  I-75 - SR56,67,5
E New Port Richey,Wesley Chapel  I-75 - SR56,17,0
Hillsborough  Manatee Spur,Zephyrhills,5574,230
Pinellas,Zephyrhills,578,32
Hudson,Zephyrhills,9,1
Pasco West,Zephyrhills,141,7
Land O Lakes  Connerton,Zephyrhills,145,5
Pasco Central,Zephyrhills,560,10
I-75  SR 52,Zephyrhills,248,11
Pasco East,Zephyrhills,25131,649
San Antonio,Zephyrhills,582,16
Wesley Chapel  I-75 - SR56,Zephyrhills,2183,56
Zephyrhills,Zephyrhills,45952,1456
Lacoochie Ind Area,Zephyrhills,87,0
Dade City,Zephyrhills,3062,108
Hernando,Zephyrhills,720,20
External,Zephyrhills,1475,881
New Port Richey,Zephyrhills,57,3
NW Pasco,Zephyrhills,27,0
Suncoast  SR 54,Zephyrhills,61,0
Citrus,Zephyrhills,67,0
E New Port Richey,Zephyrhills,13,0
Hillsborough  Manatee Spur,Lacoochie Ind Area,86,2
Pinellas,Lacoochie Ind Area,9,0
Pasco West,Lacoochie Ind Area,10,0
New Port Richey,Lacoochie Ind Area,3,0
Land O Lakes  Connerton,Lacoochie Ind Area,8,0
Pasco Central,Lacoochie Ind Area,8,0
Pasco East,Lacoochie Ind Area,787,1
San Antonio,Lacoochie Ind Area,6,0
Suncoast  SR 54,Lacoochie Ind Area,1,0
Seven Springs  Odessa,Lacoochie Ind Area,1,0
Wesley Chapel  I-75 - SR56,Lacoochie Ind Area,22,0
Zephyrhills,Lacoochie Ind Area,87,0
Lacoochie Ind Area,Lacoochie Ind Area,341,3
Dade City,Lacoochie Ind Area,486,5
Hernando,Lacoochie Ind Area,332,0
Citrus,Lacoochie Ind Area,2,0
External,Lacoochie Ind Area,31,21
Hillsborough  Manatee Spur,Dade City,1749,57
Pinellas,Dade City,188,10
NW Pasco,Dade City,56,0
Pasco West,Dade City,105,11
New Port Richey,Dade City,122,1
Pasco Central,Dade City,474,7
I-75  SR 52,Dade City,272,0
Pasco East,Dade City,14024,428
San Antonio,Dade City,1503,20
E New Port Richey,Dade City,33,0
Suncoast  SR 54,Dade City,9,0
Wesley Chapel  I-75 - SR56,Dade City,683,19
Land O Lakes  Connerton,Dade City,149,2
Zephyrhills,Dade City,3067,104
Lacoochie Ind Area,Dade City,487,3
Dade City,Dade City,24811,603
Hernando,Dade City,1885,64
Citrus,Dade City,37,11
External,Dade City,658,442
Seven Springs  Odessa,Dade City,5,1
Hudson,Dade City,21,0
Seven Springs  Odessa,Zephyrhills,29,1
Pasco West,Hernando,6423,210
Hudson,Hernando,1657,36
New Port Richey,Hernando,3613,69
Pasco Central,Hernando,16634,415
Wesley Chapel  I-75 - SR56,Hernando,903,44
Land O Lakes  Connerton,Hernando,1593,66
Pasco East,Hernando,4469,239
NW Pasco,Hernando,3388,84
Seven Springs  Odessa,Hernando,955,22
Suncoast  SR 54,Hernando,405,7
Dade City,Hernando,1894,55
E New Port Richey,Hernando,528,10
I-75  SR 52,Hernando,401,7
San Antonio,Hernando,322,11
Lacoochie Ind Area,Hernando,327,5
Zephyrhills,Hernando,719,21
Seven Springs  Odessa,Citrus,51,1
Pasco West,Citrus,461,23
New Port Richey,Citrus,215,14
Pasco Central,Citrus,333,15
Pasco East,Citrus,127,10
Wesley Chapel  I-75 - SR56,Citrus,36,2
I-75  SR 52,Citrus,16,0
Suncoast  SR 54,Citrus,17,1
Zephyrhills,Citrus,67,0
Dade City,Citrus,37,11
NW Pasco,Citrus,109,4
Hudson,Citrus,102,1
Land O Lakes  Connerton,Citrus,50,1
San Antonio,Citrus,24,4
E New Port Richey,Citrus,16,0
Lacoochie Ind Area,Citrus,2,0
NW Pasco,External,100,79
Pasco West,External,1130,847
Hudson,External,74,75
New Port Richey,External,706,516
E New Port Richey,External,35,23
Seven Springs  Odessa,External,343,344
Pasco Central,External,1117,685
Land O Lakes  Connerton,External,289,254
I-75  SR 52,External,127,109
Pasco East,External,2628,1760
Suncoast  SR 54,External,186,255
San Antonio,External,173,336
Wesley Chapel  I-75 - SR56,External,692,1051
Zephyrhills,External,1475,881
Lacoochie Ind Area,External,31,21
Dade City,External,658,442
