PERSON TYPE,PER,ORIG PURPOSE,TIME USE
ALL,10,MEAL,217
ALL,10,SOC AND REC,913
ALL,10,COMMUTE,6347
ALL,10,OTHER,223
ALL,11,HOME,37804
ALL,11,WORK,10782
ALL,11,SCHOOL,3023
ALL,11,ESCORT,1082
ALL,11,SHOP,1488
ALL,11,MEAL,297
ALL,11,SOC AND REC,1038
ALL,11,COMMUTE,5351
ALL,11,OTHER,203
ALL,12,HOME,34406
ALL,12,WORK,13387
ALL,12,SCHOOL,3435
ALL,12,ESCORT,1352
ALL,12,SHOP,1966
ALL,12,MEAL,296
ALL,12,SOC AND REC,1281
ALL,12,COMMUTE,4771
ALL,12,OTHER,174
ALL,13,HOME,31277
ALL,13,WORK,14959
ALL,13,SCHOOL,4023
ALL,13,ESCORT,1466
ALL,13,SHOP,2809
ALL,13,MEAL,443
ALL,13,SOC AND REC,1716
ALL,13,COMMUTE,4215
ALL,13,OTHER,159
ALL,14,HOME,29303
ALL,14,WORK,15842
ALL,14,SCHOOL,4166
ALL,14,ESCORT,1460
ALL,14,SHOP,3401
ALL,14,MEAL,440
ALL,14,SOC AND REC,2120
ALL,14,COMMUTE,4187
ALL,14,OTHER,150
ALL,15,HOME,27584
ALL,15,WORK,16463
ALL,15,SCHOOL,4192
ALL,15,ESCORT,1504
ALL,15,SHOP,3900
ALL,15,MEAL,379
ALL,15,SOC AND REC,2386
ALL,15,COMMUTE,4511
ALL,15,OTHER,147
ALL,16,HOME,26948
ALL,16,WORK,16877
ALL,16,SCHOOL,4253
ALL,16,ESCORT,1499
ALL,16,SHOP,4396
ALL,16,MEAL,437
ALL,16,SOC AND REC,2483
ALL,16,COMMUTE,4028
ALL,16,OTHER,147
ALL,17,HOME,26500
ALL,17,WORK,17112
ALL,17,SCHOOL,4256
ALL,17,ESCORT,1509
ALL,17,SHOP,4743
ALL,17,MEAL,557
ALL,17,SOC AND REC,2347
ALL,17,COMMUTE,3898
ALL,17,OTHER,147
ALL,18,HOME,26278
ALL,18,WORK,17005
ALL,18,SCHOOL,4267
ALL,18,ESCORT,1508
ALL,18,SHOP,4573
ALL,18,MEAL,956
ALL,18,SOC AND REC,2288
ALL,18,COMMUTE,4048
ALL,18,OTHER,144
ALL,19,HOME,26415
ALL,19,WORK,16816
ALL,19,SCHOOL,4229
ALL,19,ESCORT,1547
ALL,19,SHOP,4301
ALL,19,MEAL,1509
ALL,19,SOC AND REC,2289
ALL,19,COMMUTE,3817
ALL,19,OTHER,144
ALL,20,HOME,26592
ALL,20,WORK,16621
ALL,20,SCHOOL,4113
ALL,20,ESCORT,1529
ALL,20,SHOP,4032
ALL,20,MEAL,1820
ALL,20,SOC AND REC,2414
ALL,20,COMMUTE,3806
ALL,20,OTHER,141
ALL,21,HOME,26818
ALL,21,WORK,16760
ALL,21,SCHOOL,4044
ALL,21,ESCORT,1481
ALL,21,SHOP,4091
ALL,21,MEAL,1515
ALL,21,SOC AND REC,2379
ALL,21,COMMUTE,3854
ALL,21,OTHER,126
ALL,22,HOME,27277
ALL,22,WORK,16861
ALL,22,SCHOOL,4020
ALL,22,ESCORT,1463
ALL,22,SHOP,4125
ALL,22,MEAL,1092
ALL,22,SOC AND REC,2385
ALL,22,COMMUTE,3727
ALL,22,OTHER,119
ALL,23,HOME,27259
ALL,23,WORK,16837
ALL,23,SCHOOL,3775
ALL,23,ESCORT,1404
ALL,23,SHOP,4162
ALL,23,MEAL,949
ALL,23,SOC AND REC,2393
ALL,23,COMMUTE,4148
ALL,23,OTHER,142
ALL,24,HOME,27833
ALL,24,WORK,16608
ALL,24,SCHOOL,3437
ALL,24,ESCORT,1409
ALL,24,SHOP,4105
ALL,24,MEAL,845
ALL,24,SOC AND REC,2427
ALL,24,COMMUTE,4249
ALL,24,OTHER,155
ALL,25,HOME,28786
ALL,25,WORK,16290
ALL,25,SCHOOL,3008
ALL,25,ESCORT,1418
ALL,25,SHOP,3783
ALL,25,MEAL,618
ALL,25,SOC AND REC,2217
ALL,25,COMMUTE,4791
ALL,25,OTHER,158
ALL,26,HOME,30534
ALL,26,WORK,15591
ALL,26,SCHOOL,2224
ALL,26,ESCORT,1285
ALL,26,SHOP,3463
ALL,26,MEAL,540
ALL,26,SOC AND REC,2066
ALL,26,COMMUTE,5211
ALL,26,OTHER,155
ALL,27,HOME,32625
ALL,27,WORK,14403
ALL,27,SCHOOL,1668
ALL,27,ESCORT,1271
ALL,27,SHOP,3218
ALL,27,MEAL,645
ALL,27,SOC AND REC,1960
ALL,27,COMMUTE,5122
ALL,27,OTHER,157
ALL,28,HOME,34593
ALL,28,WORK,12500
ALL,28,SCHOOL,1123
ALL,28,ESCORT,1156
ALL,28,SHOP,2756
ALL,28,MEAL,725
ALL,28,SOC AND REC,1993
ALL,28,COMMUTE,6064
ALL,28,OTHER,159
ALL,29,HOME,36789
ALL,29,WORK,10238
ALL,29,SCHOOL,941
ALL,29,ESCORT,1017
ALL,29,SHOP,2667
ALL,29,MEAL,992
ALL,29,SOC AND REC,2287
ALL,29,COMMUTE,5968
ALL,29,OTHER,170
ALL,30,HOME,38925
ALL,30,WORK,7184
ALL,30,SCHOOL,759
ALL,30,ESCORT,806
ALL,30,SHOP,2672
ALL,30,MEAL,1216
ALL,30,SOC AND REC,2616
ALL,30,COMMUTE,6708
ALL,30,OTHER,183
ALL,31,HOME,41586
ALL,31,WORK,4967
ALL,31,SCHOOL,595
ALL,31,ESCORT,668
ALL,31,SHOP,2470
ALL,31,MEAL,1379
ALL,31,SOC AND REC,3022
ALL,31,COMMUTE,6203
ALL,31,OTHER,178
ALL,32,HOME,43809
ALL,32,WORK,3648
ALL,32,SCHOOL,536
ALL,32,ESCORT,570
ALL,32,SHOP,2384
ALL,32,MEAL,1482
ALL,32,SOC AND REC,3428
ALL,32,COMMUTE,5045
ALL,32,OTHER,167
ALL,33,HOME,45541
ALL,33,WORK,3043
ALL,33,SCHOOL,526
ALL,33,ESCORT,501
ALL,33,SHOP,2225
ALL,33,MEAL,1491
ALL,33,SOC AND REC,3658
ALL,33,COMMUTE,3916
ALL,33,OTHER,169
ALL,34,HOME,47527
ALL,34,WORK,2639
ALL,34,SCHOOL,476
ALL,34,ESCORT,455
ALL,34,SHOP,1842
ALL,34,MEAL,1439
ALL,34,SOC AND REC,3357
ALL,34,COMMUTE,3140
ALL,34,OTHER,193
ALL,35,HOME,49587
ALL,35,WORK,2250
ALL,35,SCHOOL,421
ALL,35,ESCORT,386
ALL,35,SHOP,1421
ALL,35,MEAL,1436
ALL,35,SOC AND REC,2859
ALL,35,COMMUTE,2508
ALL,35,OTHER,200
ALL,36,HOME,51890
ALL,36,WORK,1712
ALL,36,SCHOOL,241
ALL,36,ESCORT,302
ALL,36,SHOP,985
ALL,36,MEAL,1204
ALL,36,SOC AND REC,2276
ALL,36,COMMUTE,2254
ALL,36,OTHER,205
ALL,37,HOME,53876
ALL,37,WORK,1369
ALL,37,SCHOOL,151
ALL,37,ESCORT,220
ALL,37,SHOP,626
ALL,37,MEAL,1050
ALL,37,SOC AND REC,1764
ALL,37,COMMUTE,1808
ALL,37,OTHER,205
ALL,38,HOME,55222
ALL,38,WORK,1090
ALL,38,SCHOOL,59
ALL,38,ESCORT,177
ALL,38,SHOP,486
ALL,38,MEAL,788
ALL,38,SOC AND REC,1183
ALL,38,COMMUTE,1855
ALL,38,OTHER,209
ALL,39,HOME,56873
ALL,39,WORK,841
ALL,39,SCHOOL,44
ALL,39,ESCORT,177
ALL,39,SHOP,367
ALL,39,MEAL,538
ALL,39,SOC AND REC,747
ALL,39,COMMUTE,1269
ALL,39,OTHER,213
ALL,40,HOME,58122
ALL,40,WORK,640
ALL,40,SCHOOL,10
ALL,40,ESCORT,166
ALL,40,SHOP,298
ALL,40,MEAL,288
ALL,40,SOC AND REC,494
ALL,40,COMMUTE,837
ALL,40,OTHER,213
ALL,41,HOME,58719
ALL,41,WORK,512
ALL,41,SCHOOL,8
ALL,41,ESCORT,138
ALL,41,SHOP,247
ALL,41,MEAL,128
ALL,41,SOC AND REC,373
ALL,41,COMMUTE,730
ALL,41,OTHER,213
ALL,42,HOME,59198
ALL,42,WORK,416
ALL,42,SCHOOL,8
ALL,42,ESCORT,131
ALL,42,SHOP,217
ALL,42,MEAL,111
ALL,42,SOC AND REC,298
ALL,42,COMMUTE,474
ALL,42,OTHER,214
ALL,43,HOME,59476
ALL,43,WORK,323
ALL,43,SCHOOL,8
ALL,43,ESCORT,122
ALL,43,SHOP,172
ALL,43,MEAL,86
ALL,43,SOC AND REC,230
ALL,43,COMMUTE,429
ALL,43,OTHER,221
ALL,44,HOME,59699
ALL,44,WORK,219
ALL,44,SCHOOL,2
ALL,44,ESCORT,117
ALL,44,SHOP,160
ALL,44,MEAL,80
ALL,44,SOC AND REC,214
ALL,44,COMMUTE,347
ALL,44,OTHER,231
ALL,45,HOME,59825
ALL,45,WORK,194
ALL,45,SCHOOL,0
ALL,45,ESCORT,115
ALL,45,SHOP,141
ALL,45,MEAL,78
ALL,45,SOC AND REC,196
ALL,45,COMMUTE,291
ALL,45,OTHER,229
ALL,46,HOME,59869
ALL,46,WORK,188
ALL,46,SCHOOL,0
ALL,46,ESCORT,115
ALL,46,SHOP,133
ALL,46,MEAL,75
ALL,46,SOC AND REC,174
ALL,46,COMMUTE,291
ALL,46,OTHER,223
ALL,47,HOME,59950
ALL,47,WORK,176
ALL,47,SCHOOL,0
ALL,47,ESCORT,113
ALL,47,SHOP,135
ALL,47,MEAL,82
ALL,47,SOC AND REC,164
ALL,47,COMMUTE,231
ALL,47,OTHER,216
ALL,48,HOME,59975
ALL,48,WORK,166
ALL,48,SCHOOL,0
ALL,48,ESCORT,103
ALL,48,SHOP,136
ALL,48,MEAL,91
ALL,48,SOC AND REC,155
ALL,48,COMMUTE,225
ALL,48,OTHER,217
CHILD AGE 0 TO 4,1,HOME,2977
CHILD AGE 0 TO 4,1,WORK,0
CHILD AGE 0 TO 4,1,SCHOOL,0
CHILD AGE 0 TO 4,1,ESCORT,43
CHILD AGE 0 TO 4,1,SHOP,4
CHILD AGE 0 TO 4,1,MEAL,3
CHILD AGE 0 TO 4,1,SOC AND REC,9
CHILD AGE 0 TO 4,1,COMMUTE,0
CHILD AGE 0 TO 4,1,OTHER,0
CHILD AGE 0 TO 4,2,HOME,2977
CHILD AGE 0 TO 4,2,WORK,0
CHILD AGE 0 TO 4,2,SCHOOL,0
CHILD AGE 0 TO 4,2,ESCORT,43
CHILD AGE 0 TO 4,2,SHOP,4
CHILD AGE 0 TO 4,2,MEAL,3
CHILD AGE 0 TO 4,2,SOC AND REC,9
CHILD AGE 0 TO 4,2,COMMUTE,0
CHILD AGE 0 TO 4,2,OTHER,0
CHILD AGE 0 TO 4,3,HOME,2977
CHILD AGE 0 TO 4,3,WORK,0
CHILD AGE 0 TO 4,3,SCHOOL,0
CHILD AGE 0 TO 4,3,ESCORT,43
CHILD AGE 0 TO 4,3,SHOP,4
CHILD AGE 0 TO 4,3,MEAL,3
CHILD AGE 0 TO 4,3,SOC AND REC,9
CHILD AGE 0 TO 4,3,COMMUTE,0
CHILD AGE 0 TO 4,3,OTHER,0
CHILD AGE 0 TO 4,4,HOME,2977
CHILD AGE 0 TO 4,4,WORK,0
CHILD AGE 0 TO 4,4,SCHOOL,0
CHILD AGE 0 TO 4,4,ESCORT,43
CHILD AGE 0 TO 4,4,SHOP,4
CHILD AGE 0 TO 4,4,MEAL,3
CHILD AGE 0 TO 4,4,SOC AND REC,9
CHILD AGE 0 TO 4,4,COMMUTE,0
CHILD AGE 0 TO 4,4,OTHER,0
CHILD AGE 0 TO 4,5,HOME,2965
CHILD AGE 0 TO 4,5,WORK,0
CHILD AGE 0 TO 4,5,SCHOOL,0
CHILD AGE 0 TO 4,5,ESCORT,55
CHILD AGE 0 TO 4,5,SHOP,4
CHILD AGE 0 TO 4,5,MEAL,3
CHILD AGE 0 TO 4,5,SOC AND REC,9
CHILD AGE 0 TO 4,5,COMMUTE,0
CHILD AGE 0 TO 4,5,OTHER,0
CHILD AGE 0 TO 4,6,HOME,2940
CHILD AGE 0 TO 4,6,WORK,0
CHILD AGE 0 TO 4,6,SCHOOL,0
CHILD AGE 0 TO 4,6,ESCORT,68
CHILD AGE 0 TO 4,6,SHOP,4
CHILD AGE 0 TO 4,6,MEAL,3
CHILD AGE 0 TO 4,6,SOC AND REC,9
CHILD AGE 0 TO 4,6,COMMUTE,12
CHILD AGE 0 TO 4,6,OTHER,0
CHILD AGE 0 TO 4,7,HOME,2925
CHILD AGE 0 TO 4,7,WORK,0
CHILD AGE 0 TO 4,7,SCHOOL,0
CHILD AGE 0 TO 4,7,ESCORT,71
CHILD AGE 0 TO 4,7,SHOP,4
CHILD AGE 0 TO 4,7,MEAL,3
CHILD AGE 0 TO 4,7,SOC AND REC,9
CHILD AGE 0 TO 4,7,COMMUTE,24
CHILD AGE 0 TO 4,7,OTHER,0
CHILD AGE 0 TO 4,8,HOME,2846
CHILD AGE 0 TO 4,8,WORK,0
CHILD AGE 0 TO 4,8,SCHOOL,37
CHILD AGE 0 TO 4,8,ESCORT,75
CHILD AGE 0 TO 4,8,SHOP,4
CHILD AGE 0 TO 4,8,MEAL,3
CHILD AGE 0 TO 4,8,SOC AND REC,9
CHILD AGE 0 TO 4,8,COMMUTE,62
CHILD AGE 0 TO 4,8,OTHER,0
CHILD AGE 0 TO 4,9,HOME,2648
CHILD AGE 0 TO 4,9,WORK,0
CHILD AGE 0 TO 4,9,SCHOOL,116
CHILD AGE 0 TO 4,9,ESCORT,144
CHILD AGE 0 TO 4,9,SHOP,6
CHILD AGE 0 TO 4,9,MEAL,3
CHILD AGE 0 TO 4,9,SOC AND REC,9
CHILD AGE 0 TO 4,9,COMMUTE,109
CHILD AGE 0 TO 4,9,OTHER,0
CHILD AGE 0 TO 4,10,HOME,2424
CHILD AGE 0 TO 4,10,WORK,0
CHILD AGE 0 TO 4,10,SCHOOL,175
CHILD AGE 0 TO 4,10,ESCORT,244
CHILD AGE 0 TO 4,10,SHOP,13
CHILD AGE 0 TO 4,10,MEAL,4
CHILD AGE 0 TO 4,10,SOC AND REC,9
CHILD AGE 0 TO 4,10,COMMUTE,166
CHILD AGE 0 TO 4,10,OTHER,0
CHILD AGE 0 TO 4,11,HOME,2299
CHILD AGE 0 TO 4,11,WORK,0
CHILD AGE 0 TO 4,11,SCHOOL,263
CHILD AGE 0 TO 4,11,ESCORT,292
CHILD AGE 0 TO 4,11,SHOP,17
CHILD AGE 0 TO 4,11,MEAL,9
CHILD AGE 0 TO 4,11,SOC AND REC,17
CHILD AGE 0 TO 4,11,COMMUTE,139
CHILD AGE 0 TO 4,11,OTHER,0
CHILD AGE 0 TO 4,12,HOME,2029
CHILD AGE 0 TO 4,12,WORK,15
CHILD AGE 0 TO 4,12,SCHOOL,317
CHILD AGE 0 TO 4,12,ESCORT,436
CHILD AGE 0 TO 4,12,SHOP,34
CHILD AGE 0 TO 4,12,MEAL,7
CHILD AGE 0 TO 4,12,SOC AND REC,53
CHILD AGE 0 TO 4,12,COMMUTE,144
CHILD AGE 0 TO 4,12,OTHER,0
CHILD AGE 0 TO 4,13,HOME,1939
CHILD AGE 0 TO 4,13,WORK,38
CHILD AGE 0 TO 4,13,SCHOOL,357
CHILD AGE 0 TO 4,13,ESCORT,471
CHILD AGE 0 TO 4,13,SHOP,49
CHILD AGE 0 TO 4,13,MEAL,6
CHILD AGE 0 TO 4,13,SOC AND REC,76
CHILD AGE 0 TO 4,13,COMMUTE,100
CHILD AGE 0 TO 4,13,OTHER,0
CHILD AGE 0 TO 4,14,HOME,1863
CHILD AGE 0 TO 4,14,WORK,39
CHILD AGE 0 TO 4,14,SCHOOL,361
CHILD AGE 0 TO 4,14,ESCORT,453
CHILD AGE 0 TO 4,14,SHOP,66
CHILD AGE 0 TO 4,14,MEAL,9
CHILD AGE 0 TO 4,14,SOC AND REC,94
CHILD AGE 0 TO 4,14,COMMUTE,151
CHILD AGE 0 TO 4,14,OTHER,0
CHILD AGE 0 TO 4,15,HOME,1807
CHILD AGE 0 TO 4,15,WORK,39
CHILD AGE 0 TO 4,15,SCHOOL,357
CHILD AGE 0 TO 4,15,ESCORT,476
CHILD AGE 0 TO 4,15,SHOP,107
CHILD AGE 0 TO 4,15,MEAL,6
CHILD AGE 0 TO 4,15,SOC AND REC,134
CHILD AGE 0 TO 4,15,COMMUTE,108
CHILD AGE 0 TO 4,15,OTHER,0
CHILD AGE 0 TO 4,16,HOME,1777
CHILD AGE 0 TO 4,16,WORK,39
CHILD AGE 0 TO 4,16,SCHOOL,374
CHILD AGE 0 TO 4,16,ESCORT,472
CHILD AGE 0 TO 4,16,SHOP,93
CHILD AGE 0 TO 4,16,MEAL,8
CHILD AGE 0 TO 4,16,SOC AND REC,184
CHILD AGE 0 TO 4,16,COMMUTE,89
CHILD AGE 0 TO 4,16,OTHER,0
CHILD AGE 0 TO 4,17,HOME,1852
CHILD AGE 0 TO 4,17,WORK,39
CHILD AGE 0 TO 4,17,SCHOOL,373
CHILD AGE 0 TO 4,17,ESCORT,462
CHILD AGE 0 TO 4,17,SHOP,73
CHILD AGE 0 TO 4,17,MEAL,5
CHILD AGE 0 TO 4,17,SOC AND REC,184
CHILD AGE 0 TO 4,17,COMMUTE,47
CHILD AGE 0 TO 4,17,OTHER,0
CHILD AGE 0 TO 4,18,HOME,1891
CHILD AGE 0 TO 4,18,WORK,39
CHILD AGE 0 TO 4,18,SCHOOL,361
CHILD AGE 0 TO 4,18,ESCORT,447
CHILD AGE 0 TO 4,18,SHOP,79
CHILD AGE 0 TO 4,18,MEAL,6
CHILD AGE 0 TO 4,18,SOC AND REC,158
CHILD AGE 0 TO 4,18,COMMUTE,55
CHILD AGE 0 TO 4,18,OTHER,0
CHILD AGE 0 TO 4,19,HOME,1865
CHILD AGE 0 TO 4,19,WORK,39
CHILD AGE 0 TO 4,19,SCHOOL,357
CHILD AGE 0 TO 4,19,ESCORT,462
CHILD AGE 0 TO 4,19,SHOP,91
CHILD AGE 0 TO 4,19,MEAL,10
CHILD AGE 0 TO 4,19,SOC AND REC,123
CHILD AGE 0 TO 4,19,COMMUTE,89
CHILD AGE 0 TO 4,19,OTHER,0
CHILD AGE 0 TO 4,20,HOME,1927
CHILD AGE 0 TO 4,20,WORK,39
CHILD AGE 0 TO 4,20,SCHOOL,339
CHILD AGE 0 TO 4,20,ESCORT,460
CHILD AGE 0 TO 4,20,SHOP,79
CHILD AGE 0 TO 4,20,MEAL,19
CHILD AGE 0 TO 4,20,SOC AND REC,114
CHILD AGE 0 TO 4,20,COMMUTE,58
CHILD AGE 0 TO 4,20,OTHER,0
CHILD AGE 0 TO 4,21,HOME,1960
CHILD AGE 0 TO 4,21,WORK,39
CHILD AGE 0 TO 4,21,SCHOOL,336
CHILD AGE 0 TO 4,21,ESCORT,422
CHILD AGE 0 TO 4,21,SHOP,99
CHILD AGE 0 TO 4,21,MEAL,20
CHILD AGE 0 TO 4,21,SOC AND REC,85
CHILD AGE 0 TO 4,21,COMMUTE,74
CHILD AGE 0 TO 4,21,OTHER,0
CHILD AGE 0 TO 4,22,HOME,1955
CHILD AGE 0 TO 4,22,WORK,47
CHILD AGE 0 TO 4,22,SCHOOL,335
CHILD AGE 0 TO 4,22,ESCORT,423
CHILD AGE 0 TO 4,22,SHOP,80
CHILD AGE 0 TO 4,22,MEAL,16
CHILD AGE 0 TO 4,22,SOC AND REC,73
CHILD AGE 0 TO 4,22,COMMUTE,106
CHILD AGE 0 TO 4,22,OTHER,0
CHILD AGE 0 TO 4,23,HOME,2030
CHILD AGE 0 TO 4,23,WORK,48
CHILD AGE 0 TO 4,23,SCHOOL,328
CHILD AGE 0 TO 4,23,ESCORT,398
CHILD AGE 0 TO 4,23,SHOP,83
CHILD AGE 0 TO 4,23,MEAL,16
CHILD AGE 0 TO 4,23,SOC AND REC,60
CHILD AGE 0 TO 4,23,COMMUTE,74
CHILD AGE 0 TO 4,23,OTHER,0
CHILD AGE 0 TO 4,24,HOME,2011
CHILD AGE 0 TO 4,24,WORK,48
CHILD AGE 0 TO 4,24,SCHOOL,328
CHILD AGE 0 TO 4,24,ESCORT,391
CHILD AGE 0 TO 4,24,SHOP,87
CHILD AGE 0 TO 4,24,MEAL,18
CHILD AGE 0 TO 4,24,SOC AND REC,61
CHILD AGE 0 TO 4,24,COMMUTE,92
CHILD AGE 0 TO 4,24,OTHER,0
CHILD AGE 0 TO 4,25,HOME,1969
CHILD AGE 0 TO 4,25,WORK,48
CHILD AGE 0 TO 4,25,SCHOOL,323
CHILD AGE 0 TO 4,25,ESCORT,403
CHILD AGE 0 TO 4,25,SHOP,67
CHILD AGE 0 TO 4,25,MEAL,29
CHILD AGE 0 TO 4,25,SOC AND REC,52
CHILD AGE 0 TO 4,25,COMMUTE,144
CHILD AGE 0 TO 4,25,OTHER,0
CHILD AGE 0 TO 4,26,HOME,2006
CHILD AGE 0 TO 4,26,WORK,47
CHILD AGE 0 TO 4,26,SCHOOL,295
CHILD AGE 0 TO 4,26,ESCORT,377
CHILD AGE 0 TO 4,26,SHOP,77
CHILD AGE 0 TO 4,26,MEAL,30
CHILD AGE 0 TO 4,26,SOC AND REC,48
CHILD AGE 0 TO 4,26,COMMUTE,154
CHILD AGE 0 TO 4,26,OTHER,0
CHILD AGE 0 TO 4,27,HOME,2036
CHILD AGE 0 TO 4,27,WORK,45
CHILD AGE 0 TO 4,27,SCHOOL,272
CHILD AGE 0 TO 4,27,ESCORT,357
CHILD AGE 0 TO 4,27,SHOP,84
CHILD AGE 0 TO 4,27,MEAL,31
CHILD AGE 0 TO 4,27,SOC AND REC,56
CHILD AGE 0 TO 4,27,COMMUTE,154
CHILD AGE 0 TO 4,27,OTHER,0
CHILD AGE 0 TO 4,28,HOME,2066
CHILD AGE 0 TO 4,28,WORK,41
CHILD AGE 0 TO 4,28,SCHOOL,202
CHILD AGE 0 TO 4,28,ESCORT,314
CHILD AGE 0 TO 4,28,SHOP,87
CHILD AGE 0 TO 4,28,MEAL,32
CHILD AGE 0 TO 4,28,SOC AND REC,60
CHILD AGE 0 TO 4,28,COMMUTE,233
CHILD AGE 0 TO 4,28,OTHER,0
CHILD AGE 0 TO 4,29,HOME,2281
CHILD AGE 0 TO 4,29,WORK,39
CHILD AGE 0 TO 4,29,SCHOOL,157
CHILD AGE 0 TO 4,29,ESCORT,233
CHILD AGE 0 TO 4,29,SHOP,108
CHILD AGE 0 TO 4,29,MEAL,29
CHILD AGE 0 TO 4,29,SOC AND REC,55
CHILD AGE 0 TO 4,29,COMMUTE,133
CHILD AGE 0 TO 4,29,OTHER,0
CHILD AGE 0 TO 4,30,HOME,2354
CHILD AGE 0 TO 4,30,WORK,24
CHILD AGE 0 TO 4,30,SCHOOL,62
CHILD AGE 0 TO 4,30,ESCORT,185
CHILD AGE 0 TO 4,30,SHOP,133
CHILD AGE 0 TO 4,30,MEAL,27
CHILD AGE 0 TO 4,30,SOC AND REC,72
CHILD AGE 0 TO 4,30,COMMUTE,178
CHILD AGE 0 TO 4,30,OTHER,0
CHILD AGE 0 TO 4,31,HOME,2465
CHILD AGE 0 TO 4,31,WORK,16
CHILD AGE 0 TO 4,31,SCHOOL,25
CHILD AGE 0 TO 4,31,ESCORT,124
CHILD AGE 0 TO 4,31,SHOP,114
CHILD AGE 0 TO 4,31,MEAL,27
CHILD AGE 0 TO 4,31,SOC AND REC,93
CHILD AGE 0 TO 4,31,COMMUTE,171
CHILD AGE 0 TO 4,31,OTHER,0
CHILD AGE 0 TO 4,32,HOME,2532
CHILD AGE 0 TO 4,32,WORK,8
CHILD AGE 0 TO 4,32,SCHOOL,0
CHILD AGE 0 TO 4,32,ESCORT,90
CHILD AGE 0 TO 4,32,SHOP,87
CHILD AGE 0 TO 4,32,MEAL,23
CHILD AGE 0 TO 4,32,SOC AND REC,119
CHILD AGE 0 TO 4,32,COMMUTE,178
CHILD AGE 0 TO 4,32,OTHER,0
CHILD AGE 0 TO 4,33,HOME,2593
CHILD AGE 0 TO 4,33,WORK,0
CHILD AGE 0 TO 4,33,SCHOOL,0
CHILD AGE 0 TO 4,33,ESCORT,105
CHILD AGE 0 TO 4,33,SHOP,71
CHILD AGE 0 TO 4,33,MEAL,10
CHILD AGE 0 TO 4,33,SOC AND REC,122
CHILD AGE 0 TO 4,33,COMMUTE,134
CHILD AGE 0 TO 4,33,OTHER,0
CHILD AGE 0 TO 4,34,HOME,2682
CHILD AGE 0 TO 4,34,WORK,0
CHILD AGE 0 TO 4,34,SCHOOL,0
CHILD AGE 0 TO 4,34,ESCORT,86
CHILD AGE 0 TO 4,34,SHOP,54
CHILD AGE 0 TO 4,34,MEAL,14
CHILD AGE 0 TO 4,34,SOC AND REC,115
CHILD AGE 0 TO 4,34,COMMUTE,85
CHILD AGE 0 TO 4,34,OTHER,0
CHILD AGE 0 TO 4,35,HOME,2765
CHILD AGE 0 TO 4,35,WORK,0
CHILD AGE 0 TO 4,35,SCHOOL,0
CHILD AGE 0 TO 4,35,ESCORT,76
CHILD AGE 0 TO 4,35,SHOP,48
CHILD AGE 0 TO 4,35,MEAL,7
CHILD AGE 0 TO 4,35,SOC AND REC,78
CHILD AGE 0 TO 4,35,COMMUTE,61
CHILD AGE 0 TO 4,35,OTHER,0
