GROUP,HOME_OTHER_LANG,COUNT,CHART_TYPE
Expanded Response,Urdu,182.45,HOME OTHER LANGUAGE
Expanded Response,Vietnamese,266.42,HOME OTHER LANGUAGE
Expanded Response,Wallon,4.43,HOME OTHER LANGUAGE
Expanded Response,Xhosa,2.72,HOME OTHER LANGUAGE
Expanded Response,Yiddish,5.88,HOME OTHER LANGUAGE
Expanded Response,Yola,3.92,HOME OTHER LANGUAGE
Expanded Response,Zulu,10.46,HOME OTHER LANGUAGE
Expanded Response,Filipino,10.87,HOME OTHER LANGUAGE
Expanded Response,American Sign Language (ASL),61.4,HOME OTHER LANGUAGE
Expanded Response,"Chinese, Cantonese",127.23,HOME OTHER LANGUAGE
Expanded Response,Javanese,4.07,HOME OTHER LANGUAGE
Expanded Response,Malay,4.6,HOME OTHER LANGUAGE
Expanded Response,Swahili,57.53,HOME OTHER LANGUAGE
Expanded Response,Tagalog,13.65,HOME OTHER LANGUAGE
Expanded Response,Nepali,44.77,HOME OTHER LANGUAGE
Expanded Response,Other,980.35,HOME OTHER LANGUAGE
